Metric,Value
Accuracy,0.9953333333333333
Top-1 Accuracy,0.9953333333333333
Top-5 Accuracy,0.9993333333333333
Precision,0.9953771929824561
Recall,0.9953333333333333
F1 Score,0.9953398744391118
