Training Size,Training Score,Validation Score
562,0.9527250761248267,0.8282570386124611
1125,0.922906495876292,0.838215986272686
1687,0.9047020089266178,0.8424699426357455
2250,0.8946515847887035,0.8440456547733183
2812,0.8841682960470463,0.846055835043529
3375,0.8791969639715893,0.848038697300152
3937,0.8764753806130334,0.8466244757825179
4500,0.8723836700250223,0.8474236515026059
5062,0.8703578197037956,0.8472173020352789
5625,0.8688856677530881,0.8481292403272457
