,precision,recall,f1-score,support
buildings,0.7801980198019802,0.9016018306636155,0.8365180467091295,437.0
forest,0.9371196754563894,0.9746835443037974,0.9555325749741469,474.0
glacier,0.8545816733067729,0.7757685352622061,0.8132701421800947,553.0
mountain,0.8082191780821918,0.7866666666666666,0.7972972972972973,525.0
sea,0.842391304347826,0.9117647058823529,0.8757062146892656,510.0
street,0.9130434782608695,0.7964071856287425,0.8507462686567164,501.0
accuracy,0.854,0.854,0.854,0.854
macro avg,0.8559255548760049,0.8578154114012303,0.8548450907511085,3000.0
weighted avg,0.8563647808258923,0.854,0.8532114489149497,3000.0
