Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy,Learning Rate
1,1.4108140320859404,0.9033322551033713,0.48388862509232883,0.6395287796442687,0.0005
2,1.0663913157251146,0.8702502867037599,0.5824726970560303,0.6785758399209486,0.0005
3,0.981232249159419,0.757997562262145,0.6220421810699588,0.7166501976284585,0.0005
4,0.9226339075640057,0.7240070009773428,0.6449562097710245,0.7428514081027668,0.0005
5,0.8813422094722758,0.6913032091476701,0.6631680647884352,0.7491816946640316,0.0005
6,0.8582457689478187,0.6424981254068288,0.6766513664661813,0.7728199110671937,0.0005
7,0.8363921916552758,0.6745683574541048,0.6849642555661074,0.7638031126482214,0.0005
8,0.825013829262508,0.6163656786084175,0.68809683971721,0.7758769762845851,0.0005
9,0.7799471577687821,0.7092356146736578,0.7091313179276142,0.7434226778656126,0.0005
10,0.7823996216992707,0.6237175346098163,0.698909201224016,0.7780694169960474,0.0005
11,0.7586804900074277,0.5899151594124057,0.7138994407512925,0.7870244565217391,0.0005
12,0.7506271135433447,0.5857880044389855,0.7189577397910731,0.7858973567193676,0.0005
13,0.7389923409688847,0.5504103018478914,0.7236599134747282,0.7978940217391305,0.0005
14,0.728523699731229,0.5501614331521771,0.7309703756463015,0.8078372035573124,0.0005
15,0.7227656463442365,0.5312134112146768,0.7263242587316662,0.8123147233201581,0.0005
16,0.7044806898998739,0.5666801076043736,0.7389337343041047,0.8043632658102766,0.0005
17,0.6863413125361473,0.6086323203688319,0.7433754088846681,0.793555459486166,0.0005
18,0.7106852197748983,0.6172588305039839,0.738343489500897,0.7746726778656126,0.0005
19,0.6769218422748424,0.5450801485302773,0.7467190302838451,0.8129477519762847,0.00025
20,0.6374139859635606,0.5105612108653242,0.7589262161021421,0.8179193428853755,0.00025
21,0.6321573880662945,0.4881904658607461,0.763789965178854,0.8316298171936759,0.00025
22,0.6223208037366894,0.5291008106009527,0.7646802785691674,0.8160820158102766,0.00025
23,0.6213611053605365,0.49571389908140356,0.7699331275720165,0.8306262351778656,0.00025
24,0.5999567360959501,0.4632022333416072,0.7721259364777883,0.8424221837944664,0.00025
25,0.6098168192171304,0.4915116273544051,0.7726205550279625,0.8265810276679842,0.00025
26,0.5993479989957265,0.5088210810314525,0.7727821304210193,0.821964550395257,0.00025
27,0.6006566361654179,0.47590129263699055,0.7773227287116176,0.841989871541502,0.00025
28,0.593077826279181,0.47951187091794883,0.7790472987232246,0.8379446640316206,0.000125
29,0.5691192759322984,0.4525332897901535,0.7844617231191305,0.8401525444664032,0.000125
30,0.5569096852486629,0.4617287965322083,0.7905323414582673,0.8456954051383399,0.000125
