Feature,Importance
cat__Name_The Legend of Zelda,4.4945484488990974e-07
cat__Name_Spyro: Year of the Dragon,4.177384308400479e-07
cat__Name_Final Fantasy II,3.9507972067208465e-07
cat__User_Score_7.3,3.9329776002508423e-07
cat__Platform_WiiU,3.814003233139897e-07
cat__Name_Mario Kart: Double Dash!!,3.8018450981892723e-07
cat__Name_Sonic and the Secret Rings,3.765005728434508e-07
cat__Name_Call of Duty: Roads to Victory,3.758322715698469e-07
cat__Name_Ghostbusters: The Video Game (DS Version),3.746972843830067e-07
cat__Name_The Legend of Zelda: A Link to the Past,3.7125774840168175e-07
cat__Developer_Traveller's Tales,3.690921546789385e-07
cat__Name_Assassin's Creed,3.573386486006909e-07
cat__Name_PGR4 - Project Gotham Racing 4,3.5474924261933247e-07
cat__Name_Monster Hunter X,3.525751863727545e-07
cat__Genre_Simulation,3.4249738428092244e-07
cat__Name_Batman: Arkham City,3.4142871154684843e-07
cat__Name_Carnival Games,3.375664098482364e-07
cat__Name_Kirby: Triple Deluxe,3.356281322293351e-07
cat__Name_The Legend of Zelda: The Wind Waker,3.328906682621425e-07
cat__Name_Club Penguin: Elite Penguin Force,3.223409316739735e-07
cat__Name_Virtua Fighter 2,3.1749119221863863e-07
cat__Name_Call of Duty: Modern Warfare 3,3.159589922857951e-07
cat__Developer_Ubisoft,3.140836584773935e-07
cat__Name_Wii Party,3.1388327762240535e-07
cat__Publisher_Vivendi Games,3.1043625563794973e-07
cat__User_Score_8.4,3.0944052039075147e-07
cat__Name_Monster Hunter 4 Ultimate,3.0860120554349274e-07
cat__Name_Star Wars Battlefront (2015),3.0626795530705145e-07
cat__Name_Need for Speed Underground 2,3.056755401863772e-07
cat__Name_Metal Gear Solid: Peace Walker,3.0348256892284924e-07
cat__Name_Borderlands,3.026713694021743e-07
cat__Name_New Super Mario Bros.,2.758163717204491e-07
cat__Platform_PS4,2.750663156974285e-07
cat__Developer_Capcom,2.695309730563009e-07
cat__Genre_Misc,2.646437058496859e-07
cat__Name_Space Invaders,2.6379386013412934e-07
cat__Name_Metroid,2.576192370328965e-07
cat__Name_The Elder Scrolls IV: Oblivion,2.542204591945165e-07
cat__Name_Tekken 3,2.5339509456908853e-07
cat__Name_Super Mario Bros. 3,2.4906840391216033e-07
cat__Name_Spyro: Enter the Dragonfly,2.4450183812318156e-07
cat__Name_Mario Party 8,2.438354906925408e-07
cat__Name_Croc: Legend of the Gobbos,2.43800593001466e-07
cat__Developer_KCET,2.3651481819907693e-07
cat__Name_Sonic Heroes,2.357216668800853e-07
cat__User_Score_5.9,2.3305490939087996e-07
cat__Name_Donkey Kong Classics,2.3207491632112142e-07
cat__Name_Xenogears,2.319653161999492e-07
cat__Name_Tetris,2.285436659355016e-07
cat__Name_Call of Duty: Black Ops 3,2.2475539551813702e-07
cat__Name_F-1 World Grand Prix,2.2235658571587028e-07
cat__User_Score_9,2.1912264831908694e-07
cat__Name_Driver,2.1778930186248468e-07
cat__Name_ESPN NBA 2K5,2.1721218043079812e-07
cat__Name_The Legend of Zelda: Twilight Princess,2.1161350213522897e-07
cat__Name_Red Faction,2.0918423377831756e-07
cat__Rating_T,2.072613140775809e-07
cat__Name_Madden NFL 2004,2.057945054360634e-07
cat__Name_WarioWare Touched!,1.9407224820333054e-07
cat__Name_Diablo,1.8980047772024196e-07
cat__Platform_XOne,1.795833621425657e-07
cat__Developer_EA Sports,1.7388858208807234e-07
cat__Name_One Piece: Pirate Warriors,1.7335941604255346e-07
"cat__Developer_Omega Force, Tecmo Koei Games",1.7183084606983056e-07
cat__Name_SOCOM: U.S. Navy SEALs,1.666073438406934e-07
cat__Name_Monster Hunter Freedom,1.6347014024597013e-07
cat__Name_FIFA Soccer 11,1.6218374590741077e-07
cat__Name_Pokemon Snap,1.619715211651349e-07
cat__Name_Madden NFL 2002,1.5601384170201722e-07
cat__Name_Mario Sports Mix,1.5493334597048997e-07
cat__Name_Crisis Core: Final Fantasy VII,1.5304399113514445e-07
cat__Name_Driver 2,1.5179219857960137e-07
cat__Publisher_Red Orb,1.5090381069126114e-07
cat__Name_Mario Kart: Super Circuit,1.498743996440078e-07
cat__Name_Mario & Sonic at the London 2012 Olympic Games,1.493792386675421e-07
"cat__Developer_Ubisoft Reflections, Ivory Tower",1.4482173153056122e-07
cat__Name_We Ski,1.4333316952202345e-07
cat__User_Score_6.6,1.431367521797097e-07
cat__Rating_E10+,1.4241921890100594e-07
cat__Publisher_Hasbro Interactive,1.4238861891816189e-07
cat__Platform_PS2,1.4141622632970744e-07
cat__Name_Dynasty Warriors 5,1.4080278416773333e-07
cat__Name_Excitebike,1.3983958397660197e-07
cat__Name_Mario Power Tennis,1.398127753362565e-07
cat__Name_Personal Trainer: Math,1.3968097348573422e-07
cat__Name_WWF SmackDown!,1.3886302405028498e-07
cat__Name_New Super Mario Bros. U,1.3642344762210492e-07
cat__Name_Rugrats Studio Tour,1.3611519663042118e-07
cat__Name_Super Mario All-Stars: Limited Edition,1.3444589943827188e-07
cat__Name_Paper Mario,1.3147737135088787e-07
cat__Name_Deca Sports,1.309925634240474e-07
cat__Name_Dragon Ball Z: Budokai,1.30175533188652e-07
cat__Name_Yakuza 3,1.2985600502341608e-07
cat__Name_Kirby Tilt 'n' Tumble,1.2856884919085283e-07
