Feature,Importance
NA_Sales,0.9180981208692559
EU_Sales,0.1288641674690895
JP_Sales,0.05809042562262332
Other_Sales,0.014393967608840642
Name,0.0033427264060075677
Platform,8.426115218731489e-05
Developer,4.578672720378929e-05
Year_of_Release,4.377479555847108e-05
User_Count,2.898409838587579e-05
Critic_Count,2.5457209644730304e-05
User_Score,2.3350359835949684e-05
Genre,2.007218084837392e-05
Critic_Score,1.3083991266149564e-05
Publisher,3.648647727982901e-06
Rating,3.2867726127427945e-07
