Model,Best Score,Best Parameters
Random Forest,-1.9457160906616173,"{'model__max_depth': None, 'model__n_estimators': 200}"
Gradient Boosting,-1.9192333297598068,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200}"
