Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Learning Rate
1,0.9575813537863291,0.35646755422683474,0.719,0.9353333333333333,0.001
2,0.43372700183086743,0.22111750631890398,0.879,0.9586666666666667,0.001
3,0.34139549456638835,0.17015144133821447,0.9038571428571428,0.9646666666666667,0.001
4,0.29433945328269373,0.14147590417811212,0.9144285714285715,0.9713333333333334,0.001
5,0.26618992407980574,0.12380484729371172,0.9192857142857143,0.9726666666666667,0.001
