,release_year,year_added,content_age,years_on_netflix,genre_count,country_count,cast_count,duration_value,duration_minutes,season_count,popularity_score
release_year,1.0,0.11154836191998331,-0.9999999999999991,-0.11154836191985386,-0.04096447555720082,-0.03797771914850042,-0.09600184556886233,-0.24992470797581878,-0.2062847468196626,-0.0814042630893273,0.05693449705350038
year_added,0.11154836191998331,1.0,-0.11154836192074755,-1.0,0.0486434816066392,-0.018035921117062065,0.12623351027126897,0.02934462104797352,0.12443625164005023,0.042252727963165426,0.13580381991681442
content_age,-0.9999999999999991,-0.11154836192074755,1.0,0.11154836192061818,0.040964475557136094,0.03797771914855098,0.09600184556875817,0.2499247079758627,0.20628474681965642,0.08140426308931585,-0.056934497053596114
years_on_netflix,-0.11154836191985386,-1.0,0.11154836192061818,1.0,-0.04864348160661951,0.018035921116999636,-0.1262335102712871,-0.02934462104802093,-0.12443625164015676,-0.042252727963199316,-0.1358038199168191
genre_count,-0.04096447555720082,0.0486434816066392,0.040964475557136094,-0.04864348160661951,1.0,-0.009259398506303959,0.2135642745114346,0.08629552270004566,0.4139975550640174,-0.07868625786632605,0.4596008969332755
country_count,-0.03797771914850042,-0.018035921117062065,0.03797771914855098,0.018035921116999636,-0.009259398506303959,1.0,0.06172528901183255,0.10825078666650076,0.05059811610734193,0.054471497348959855,0.28749818419717177
cast_count,-0.09600184556886233,0.12623351027126897,0.09600184556875817,-0.1262335102712871,0.2135642745114346,0.06172528901183255,1.0,0.10390182101881426,0.3340650928834841,0.16885915805030524,0.9195662135068706
duration_value,-0.24992470797581878,0.02934462104797352,0.2499247079758627,-0.02934462104802093,0.08629552270004566,0.10825078666650076,0.10390182101881426,1.0,1.0,1.0,0.10010988537081261
duration_minutes,-0.2062847468196626,0.12443625164005023,0.20628474681965642,-0.12443625164015676,0.4139975550640174,0.05059811610734193,0.3340650928834841,1.0,1.0,,0.3791809230385003
season_count,-0.0814042630893273,0.042252727963165426,0.08140426308931585,-0.042252727963199316,-0.07868625786632605,0.054471497348959855,0.16885915805030524,1.0,,1.0,0.13496519552101174
popularity_score,0.05693449705350038,0.13580381991681442,-0.056934497053596114,-0.1358038199168191,0.4596008969332755,0.28749818419717177,0.9195662135068706,0.10010988537081261,0.3791809230385003,0.13496519552101174,1.0
