train_loss,validation_loss,train_accuracy,validation_accuracy,learning_rate
0.5396734665334225,0.4513558219671249,0.7161875,0.7795,0.001
0.4199850852191448,0.43133517301082613,0.789421875,0.7908125,0.001
0.38314963747560976,0.43493626737594604,0.8096875,0.7923125,0.001
0.3596938511878252,0.445469233751297,0.821421875,0.7900625,0.001
0.34005032777786254,0.46332613039016723,0.82971875,0.79,0.0005
0.3194162457436323,0.4841351129412651,0.840796875,0.787875,0.0005
0.30991556245088575,0.5035043979883194,0.84425,0.786125,0.0005
