,precision,recall,f1-score,support
Negative,0.7460958062818038,0.8504,0.7948406393120853,10000.0
Positive,0.8260869565217391,0.7106,0.7640038705515536,10000.0
accuracy,0.7805,0.7805,0.7805,0.7805
macro avg,0.7860913814017715,0.7805,0.7794222549318195,20000.0
weighted avg,0.7860913814017715,0.7805,0.7794222549318194,20000.0
