Metric,Baseline,Tuned
Accuracy,0.7967306325515281,0.7974413646055437
Precision,0.6428571428571429,0.6478405315614618
Recall,0.5294117647058824,0.5213903743315508
F1 Score,0.5806451612903226,0.5777777777777777
ROC AUC,0.8386144918233069,0.8393495918124356
