Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Gradient Boosting,0.7967306325515281,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.8386144918233069
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
Random Forest,0.7874911158493249,0.6306620209059234,0.4839572192513369,0.5476550680786687,0.8136612120867004
Decision Tree,0.7306325515280739,0.493368700265252,0.49732620320855614,0.49533954727030627,0.6564546438129947
